name,state_abbr,lat,long,pop_estimate_2022,county_fips,division,full_name,place_fips,sum_lev,lsadc,display_name,address,url
"Atmore","AL","31.1240665","-87.4577975","8391","","6","Atmore city","3004","160","25","City of Atmore","201 E Louisville Ave, Atmore, AL 36502, USA","http://www.cityofatmore.com/"
"Auburn","AL","32.607722","-85.4895446","76143","","6","Auburn city","3076","160","25","City of Auburn","144 Tichenor Ave, Auburn, AL 36830, USA","http://www.auburnalabama.org/"
"Richmond","GA","33.3614863","-82.0749982","206607","245","5","Richmond County","","50","06","Richmond County","2830 Central Ave, Augusta, GA 30909, USA","https://www.augustaga.gov"
"Aurora","CO","39.7036326","-104.720088","386261","","8","Aurora city","4000","160","25","City of Aurora","15151 E Alameda Pkwy, Aurora, CO 80012, USA","https://www.auroragov.org/"
"Austin","TX","30.3011573","-97.7526951","961855","","7","Austin city","5000","160","25","City of Austin","301 W 2nd St, Austin, TX 78701, USA","https://www.austintexas.gov"
"Aynor","SC","34.0002296","-79.2071174","974","","5","Aynor town","03430","160","43","Town of Aynor","600 S Main St, Aynor, SC 29511, USA","https://www.townofaynor.net/"
"Bakersfield","CA","35.3535928","-119.0369206","403455","","9","Bakersfield city","3526","160","25","City of Bakersfield","1600 Truxtun Ave, Bakersfield, CA 93306, USA","http://www.bakersfieldcity.us/"
"Cook","IL","41.8942937","-87.6454546","5275541","31","3","Cook County","","50","06","Cook County","69 W Washington St #2220, Chicago, IL 60602, USA","http://www.cookcountyil.gov/"
"Marin","CA","38.0513667","-122.7463958","262321","41","9","Marin County","","50","06","Marin County","3501 Civic Center Dr # 325, San Rafael, CA 94903, USA","https://www.marincounty.gov/"
"Warren","OH","39.4256625","-84.1699402","242337","165","3","Warren County","","50","06","Warren County","","https://www.co.warren.oh.us/"
"Baltimore","MD","39.3000324","-76.6104761","585708","","5","Baltimore city","4000","160","25","City of Baltimore","100 Holliday St, Baltimore, MD 21202, USA","http://www.baltimorecity.gov/"
"Bamberg","SC","33.2030211","-81.0531607","13311","9","5","Bamberg County","","50","06","Bamberg County","Bamberg, SC 29003, USA","https://www.bambergcountysc.gov/"
"Barnwell","SC","33.2416332","-81.3661435","4652","","5","Barnwell city","4060","160","25","City of Barnwell","130 Main St, Barnwell, SC 29812, USA","https://www.cityofbarnwell.com/"
"Barnwell","SC","33.2605516","-81.4342278","20589","11","5","Barnwell County","","50","06","Barnwell County","","https://www.barnwellcountysc.us/"
"Bay Minette","AL","30.8944358","-87.7913063","8107","","6","Bay Minette city","4660","160","25","City of Bay Minette","301 D'Olive St, Bay Minette, AL 36507, USA","https://cityofbayminetteal.gov"
"Bayou La Batre","AL","30.407586","-88.2632709","2204","","6","Bayou La Batre city","4684","160","25","City of Bayou La Batre","13785 S Wintzell Ave, Bayou La Batre, AL 36509, USA","http://cityofbayoulabatre.com"
"Beaufort","SC","32.358112","-80.6894218","187117","13","5","Beaufort County","","50","06","Beaufort County","100 Ribaut Rd, Beaufort, SC 29902, USA","https://www.beaufortcountysc.gov/"
"Beaufort","SC","32.4580854","-80.7225433","13607","","5","Beaufort city","4690","160","25","City of Beaufort","1911 Boundary St, Beaufort, SC 29902, USA","https://www.cityofbeaufort.org/"
"Bedford","VA","37.3122568","-79.5272234","79462","19","5","Bedford County","","50","06","Bedford County","","http://www.bedfordcountyva.gov"
"Bedford","VA","37.3362723","-79.517716","6657","","5","Bedford town","05544","160","43","Town of Bedford","Town of bedford muncipal Building, 215 E Main St Apt 110, Bedford, VA 24523, USA","http://www.bedfordva.gov"
"Belton","SC","34.5233652","-82.4936177","4335","","5","Belton city","5365","160","25","City of Belton","306 Anderson St, Belton, SC 29627, USA","https://cityofbeltonsc.com/"
"Bennettsville","SC","34.628218","-79.6859584","7020","","5","Bennettsville city","5680","160","25","City of Bennettsville","501 E Main St, Bennettsville, SC 29512, USA","http://www.bennettsvillesc.com/"
"Berkeley","SC","33.2077","-79.9536554","229861","15","5","Berkeley County","","50","06","Berkeley County","1003 US-52, Moncks Corner, SC 29461, USA","https://berkeleycountysc.gov"
"Berry","AL","33.6667018","-87.609311","1216","","6","Berry town","05932","160","43","Town of Berry","30 School Ave, Berry, AL 35546, USA","http://townofberryalabama.org"
"Berryville","VA","39.1499271","-77.9831876","4574","","5","Berryville town","06968","160","43","Town of Berryville","Berryville, VA 22611, USA","http://www.berryvilleva.gov"
"Bessemer","AL","33.3708576","-86.9715222","26019","","6","Bessemer city","5980","160","25","City of Bessemer","1700 3rd Ave N, Bessemer, AL 35020, USA","http://www.bessemeral.org/"
"Beverly Hills","MI","42.5225426","-83.2403404","10584","","3","Beverly Hills village","8160","160","47","Village of Beverly Hills","18500 13 Mile Rd, Beverly Hills, MI 48025, USA","https://www.villagebeverlyhills.com/"
"Beverly Hills","CA","34.07923","-118.4024374","32701","","9","Beverly Hills city","6308","160","25","City of Beverly Hills","455 N Rexford Dr, Beverly Hills, CA 90210, USA","https://www.beverlyhills.org/"
"Big Stone Gap","VA","36.8620823","-82.7769049","5254","","5","Big Stone Gap town","07480","160","43","Town of Big Stone Gap","505 E 5th St S, Big Stone Gap, VA 24219, USA","http://www.bigstonegap.org"
"Birmingham","AL","33.5271744","-86.7970356","200733","","6","Birmingham city","7000","160","25","City of Birmingham","","http://www.birminghamal.gov/"
